city,population,zabkaCount,index,perCapita
Poznań,532048,346,100,6.5
Wrocław,641928,413,98.9,6.43
Kołobrzeg,46198,26,86.5,5.63
Gdańsk,470805,258,84.3,5.48
Rumia,49536,27,83.8,5.45
Leszno,62854,34,83.2,5.41
Kielce,193415,104,82.7,5.38
Katowice,290553,155,82,5.33
Kraków,779966,411,81,5.27
Gdynia,244969,128,80.3,5.23
Warszawa,1794166,927,79.4,5.17
Piaseczno,48670,25,79,5.14
Częstochowa,217530,107,75.6,4.92
Piotrków Trybunalski,72250,35,74.5,4.84
Inowrocław,71674,34,72.9,4.74
Wejherowo,49099,23,72,4.68
Puławy,46965,22,72,4.68
Szczecin,398255,186,71.8,4.67
Tychy,126871,59,71.5,4.65
Pruszków,62623,29,71.2,4.63
Radomsko,45353,21,71.2,4.63
Gliwice,177049,81,70.3,4.58
Nowy Sącz,83558,38,69.9,4.55
Olsztyn,171249,77,69.1,4.5
Chorzów,106846,48,69.1,4.49
Bełchatów,56419,25,68.1,4.43
Wodzisław Śląski,47576,21,67.9,4.41
Zielona Góra,140892,62,67.7,4.4
Gorzów Wielkopolski,122589,54,67.7,4.4
Łódź,672185,291,66.6,4.33
Ostrowiec Świętokrzyski,67404,29,66.2,4.3
Bielsko-Biała,169756,73,66.1,4.3
Żory,62844,27,66.1,4.3
Świdnica,56222,24,65.6,4.27
Lublin,338586,144,65.4,4.25
Dąbrowa Górnicza,118285,50,65,4.23
Biała Podlaska,56942,24,64.8,4.21
Rybnik,137128,56,62.8,4.08
Pabianice,63945,26,62.5,4.07
Tczew,59430,24,62.1,4.04
Stargard,67579,27,61.4,4
Skierniewice,47655,19,61.3,3.99
Koszalin,106235,42,60.8,3.95
Będzin,56008,22,60.4,3.93
Legionowo,53529,21,60.3,3.92
Krosno,45948,18,60.2,3.92
Słupsk,89780,34,58.2,3.79
Zgierz,55673,21,58,3.77
Jelenia Góra,78335,29,56.9,3.7
Kędzierzyn-Koźle,60021,22,56.4,3.67
Legnica,98436,36,56.2,3.66
Płock,118268,43,55.9,3.64
Bydgoszcz,344091,124,55.4,3.6
Opole,127839,46,55.3,3.6
Rzeszów,197863,71,55.2,3.59
Włocławek,108561,39,55.2,3.59
Zawiercie,48703,17,53.7,3.49
Toruń,198613,69,53.4,3.47
Białystok,296958,101,52.3,3.4
Ostrów Wielkopolski,71560,24,51.6,3.35
Konin,72539,24,50.9,3.31
Jastrzębie-Zdrój,88038,29,50.7,3.29
Gniezno,67570,22,50.1,3.26
Mysłowice,74559,24,49.5,3.22
Siedlce,77813,25,49.4,3.21
Bytom,163255,52,49,3.19
Skarżysko-Kamienna,44260,14,48.6,3.16
Ruda Śląska,136423,43,48.5,3.15
Sosnowiec,197586,62,48.3,3.14
Chełm,61135,19,47.8,3.11
Tarnowskie Góry,61756,19,47.3,3.08
Lubin,71710,22,47.2,3.07
Ełk,61903,19,47.2,3.07
Zabrze,170924,52,46.8,3.04
Głogów,66120,20,46.5,3.02
Tarnów,107498,31,44.3,2.88
Radom,209296,59,43.3,2.82
Elbląg,118582,33,42.8,2.78
Zamość,62785,17,41.6,2.71
Siemianowice Śląskie,66270,17,39.4,2.57
Starogard Gdański,47272,12,39,2.54
Starachowice,47638,12,38.7,2.52
Jaworzno,90368,22,37.4,2.43
Otwock,44317,10,34.7,2.26
Piła,72527,16,33.9,2.21
Piekary Śląskie,54702,12,33.7,2.19
Tomaszów Mazowiecki,61338,13,32.6,2.12
Wałbrzych,109971,23,32.2,2.09
Grudziądz,93564,19,31.2,2.03
Mielec,60075,11,28.2,1.83
Łomża,62573,11,27,1.76
Suwałki,69639,11,24.3,1.58
Przemyśl,59779
Tarnobrzeg,46360,11,36.5,2.37
Świętochłowice,49108,10,31.3,2.04
Dębica,45189,8,27.2,1.77
Ostrołęka,51656,8,23.8,1.55
Kalisz,99106,15,23.3,1.51
Stalowa Wola,59623,9,23.2,1.51
Racibórz,54*259,21
Zakopane,26846,27,154.7,10.06
Sopot,35286,22,95.9,6.23
Płońsk,21924,13,91.2,5.93
Zgorzelec,29810,17,87.7,5.7
Lębork,35101,20,87.6,5.7
Świnoujście,40948,23,86.4,5.62
Kluczbork,23254,13,86,5.59
Myszków,31261,17,83.6,5.44
Żywiec,30733,16,80.1,5.21
Czechowice-Dziedzice,35839,18,77.2,5.02
Swarzędz,29862,15,77.2,5.02
Białogard,23950,12,77,5.01
Luboń,32015,16,76.8,5
Ząbki,38546,19,75.8,4.93
Grodzisk Mazowiecki,32452,16,75.8,4.93
Kłodzko,26421,13,75.7,4.92
Polkowice,22435,11,75.4,4.9
Sandomierz,22997,11,73.6,4.78
Knurów,37801,18,73.2,4.76
Wągrowiec,25607,12,72.1,4.69
Nowy Dwór Mazowiecki,28691,13,69.7,4.53
Nowa Sól,38191,17,68.4,4.45
Pruszcz Gdański,31578,14,68.2,4.43
Ostróda,32714,14,65.8,4.28
Pszczyna,25702,11,65.8,4.28
Szczecinek,39827,17,65.6,4.27
Środa Wielkopolska,23672,10,65,4.22
Iława,33206,14,64.8,4.22
Sochaczew,35891,15,64.3,4.18
Kwidzyn,38329,16,64.2,4.17
Reda,26707,11,63.3,4.12
Sieradz,41390,17,63.2,4.11
Wieluń,21892,9,63.2,4.11
Goleniów,21979,9,63,4.09
Marki,36816,15,62.7,4.07
Wołomin,36848,15,62.6,4.07
Malbork,38101,15,60.5,3.94
Mińsk Mazowiecki,40916,16,60.1,3.91
Żyrardów,39550,15,58.3,3.79
Sanok,36999,14,58.2,3.78
Jarocin,26453,10,58.1,3.78
Kutno,43332,16,56.8,3.69
Zambrów,21921,8,56.1,3.65
Chrzanów,36118,13,55.3,3.6
Września,31000,11,54.6,3.55
Giżycko,28964,10,53.1,3.45
Ciechanów,43883,15,52.6,3.42
Lubliniec,23551,8,52.2,3.4
Zduńska Wola,41288,14,52.1,3.39
Kościan,23716,8,51.9,3.37
Oława,33087,11,51.1,3.32
Kraśnik,33917,11,49.9,3.24
Żary,37052,12,49.8,3.24
Czerwionka-Leszczyny,27888,9,49.6,3.23
Mława,31129,10,49.4,3.21
Oświęcim,37569,12,49.1,3.19
Kobyłka,25149,8,48.9,3.18
Olkusz,34757,11,48.7,3.16
Brodnica,28701,9,48.2,3.14
Brzeg,35226,11,48,3.12
Police,32243,10,47.7,3.1
Jarosław,37073,11,45.6,2.97
Czeladź,31039,9,44.6,2.9
Wieliczka,24215,7,44.5,2.89
Łowicz,27896,8,44.1,2.87
Aleksandrów Łódzki,21754,6,42.4,2.76
Śrem,29176,8,42.2,2.74
Mikołów,41003,11,41.3,2.68
Cieszyn,33981,9,40.7,2.65
Świebodzice,22642,6,40.7,2.65
Bolesławiec,38486,10,40,2.6
Gorlice,26973,7,39.9,2.6
Świdnik,38763,10,39.7,2.58
Nysa,43356,11,39,2.54
Chojnice,39647,10,38.8,2.52
Skawina,24366,6,37.9,2.46
Oleśnica,36979,9,37.4,2.43
Dzierżoniów,32869,8,37.4,2.43
Nowy Targ,33257,8,37,2.41
Bielsk Podlaski,25044,6,36.8,2.4
Bielawa,29523,7,36.5,2.37
Bochnia,29554,7,36.4,2.37
Augustów,29946,7,35.9,2.34
Biłgoraj,26114,6,35.3,2.3
Szczytno,22813,5,33.7,2.19
Kościerzyna,23778,5,32.3,2.1
Łuków,29441,6,31.3,2.04
Jasło,34542,7,31.2,2.03
Żagań,25265,5,30.4,1.98
Świecie,25486,5,30.2,1.96
Wałcz,24949,4,24.7,1.6
Kętrzyn,26788,4,23,1.49
Krotoszyn,28701,3,16.1,1.05
Wyszków,26980
Ustka,15199,12,121.4,7.9
Busko-Zdrój,15611,11,108.4,7.05
Świdwin,15338,10,100.3,6.52
Szamotuły,18736,10,82.1,5.34
Konstancin-Jeziorna,16889,9,81.9,5.33
Łask,16925,9,81.8,5.32
Ustroń,15989,8,76.9,5
Gryfice,16212,8,75.9,4.93
Myślenice,18325,9,75.5,4.91
Słubice,16623,8,74,4.81
Gryfino,20923,10,73.5,4.78
Braniewo,16974,8,72.5,4.71
Łomianki,17080,8,72,4.68
Zielonka,17486,8,70.4,4.58
Nakło nad Notecią,18026,8,68.2,4.44
Konstantynów Łódzki,18335,8,67.1,4.36
Libiąż,16838,7,63.9,4.16
Limanowa,15067,6,61.2,3.98
Gostyń,20250,8,60.7,3.95
Wadowice,18379,7,58.6,3.81
Złotów,18437,7,58.4,3.8
Dęblin,15887,6,58.1,3.78
Koło,21247,8,57.9,3.77
Orzesze,21290,8,57.8,3.76
Krapkowice,15962,6,57.8,3.76
Tomaszów Lubelski,18783,7,57.3,3.73
Końskie,18878,7,57,3.71
Pułtusk,19294,7,55.8,3.63
Rawa Mazowiecka,17193,6,53.7,3.49
Rawicz,20187,7,53.3,3.47
Strzelce Opolskie,17657,6,52.3,3.4
Radlin,17665,6,52.2,3.4
Kostrzyn nad Odrą,17704,6,52.1,3.39
Oborniki,17848,6,51.7,3.36
Gostynin,18355,6,50.3,3.27
Pyskowice,18455,6,50,3.25
Lubartów,21636,7,49.7,3.24
Pisz,19029,6,48.5,3.15
Rypin,15999,5,48.1,3.13
Bieruń,19375,6,47.6,3.1
Trzebinia,19507,6,47.3,3.08
Przasnysz,17055,5,45.1,2.93
Bogatynia,17037,5,45.1,2.93
Działdowo,21145,6,43.6,2.84
Rydułtowy,21385,6,43.1,2.81
Świebodzin,21550,6,42.8,2.78
Grajewo,21709,6,42.5,2.76
Chodzież,18229,5,42.2,2.74
Ząbkowice Śląskie,14728,4,41.8,2.72
Sokołów Podlaski,18814,5,40.9,2.66
Przeworsk,15105,4,40.7,2.65
Boguszów-Gorce,15154,4,40.6,2.64
Chełmno,19205,5,40,2.6
Lidzbark Warmiński,15489,4,39.7,2.58
Andrychów,19837,5,38.8,2.52
Nowogard,16448,4,37.4,2.43
Milanówek,16478,4,37.3,2.43
Prudnik,20671,5,37.2,2.42
Opoczno,20746,5,37.1,2.41
Namysłów,16622,4,37,2.41
Bytów,16833,4,36.5,2.38
Nowa Ruda,21643,5,35.5,2.31
Łańcut,17675,4,34.8,2.26
Sierpc,17788,4,34.6,2.25
Kamienna Góra,18585,4,33.1,2.15
Jędrzejów,14812,3,31.1,2.03
Sulejówek,19951,4,30.8,2
Złotoryja,15273,3,30.2,1.96
Łapy,15412,3,29.9,1.95
Strzegom,15873,3,29.1,1.89
Olecko,16364,3,28.2,1.83
Sulechów,16592,3,27.8,1.81
Radzionków,16903,3,27.3,1.77
Pleszew,16953,3,27.2,1.77
Hrubieszów,17232,3,26.8,1.74
Garwolin,17548,3,26.3,1.71
Mrągowo,21302,3,21.7,1.41
Józefów,20741
Lubań,20723,4,29.7,1.93
Międzyrzecz,17667,3,26.1,1.7
Kęty,18443,3,25,1.63
Łęczna,18675,3,24.7,1.61
Pionki,17902,2,17.2,1.12
Sokółka,17967,2,17.1,1.11
Krasnystaw,18383,2,16.7,1.09
Ozorków,19128,2,16.1,1.05
Trzcianka,17009
Jelcz-Laskowice,15648,3,29.5,1.92
Nisko,15193,2,20.2,1.32
Brzesko,16764,2,18.3,1.19
Kozienice,16877,2,18.2,1.19
Grójec,16785
Gubin,16528,3,27.9,1.82
Solec Kujawski,15614,2,19.7,1.28
Ropczyce,15864,2,19.4,1.26
Międzyrzec Podlaski,16667,2,18.5,1.2
Lędziny,16731,1,9.2,0.6
Radzyń Podlaski,15428
Radzymin,13313,10,115.5,7.51
Darłowo,13574,9,102,6.63
Brzeg Dolny,12480,8,98.6,6.41
Łęczyca,13786,7,78.1,5.08
Kępno,13889,7,77.5,5.04
Rabka-Zdrój,12662,6,72.9,4.74
Wąbrzeźno,13400,6,68.9,4.48
Człuchów,13479,6,68.4,4.45
Pszów,13734,6,67.2,4.37
Mosina,14255,6,64.7,4.21
Kartuzy,14276,6,64.6,4.2
Nowy Tomyśl,14319,6,64.4,4.19
Strzelin,12383,5,62.1,4.04
Wolsztyn,12859,5,59.8,3.89
Barlinek,13611,5,56.5,3.67
Żnin,13623,5,56.4,3.67
Brwinów,13710,5,56.1,3.65
Niepołomice,14022,5,54.8,3.57
Skoczów,14116,5,54.5,3.54
Grodzisk Wielkopolski,14713,5,52.3,3.4
Ożarów Mazowiecki,12432,4,49.5,3.22
Głubczyce,12441,4,49.4,3.22
Trzebnica,13314,4,46.2,3
Słupca,13564,4,45.3,2.95
Brzeziny,12365,3,37.3,2.43
Golub-Dobrzyń,12412,3,37.2,2.42
Pyrzyce,12484,3,37,2.4
Złocieniec,12706,3,36.3,2.36
Włodawa,12915,3,35.7,2.32
Chojnów,13236,3,34.9,2.27
Głuchołazy,13388,3,34.5,2.24
Morąg,13459,3,34.3,2.23
Nidzica,13547,3,34.1,2.21
Lubsko,13733,3,33.6,2.18
Wschowa,13717,3,33.6,2.19
Staszów,14534,3,31.7,2.06
Sławno,12357,2,24.9,1.62
Kłobuck,12756,2,24.1,1.57
Tuchola,13534,2,22.7,1.48
Gołdap,13600,2,22.6,1.47
Leżajsk,13585,2,22.6,1.47
Ostrzeszów,13964,2,22,1.43
Głowno,13961,2,22,1.43
Siemiatycze,14210,2,21.6,1.41
Chełmża,14362,2,21.4,1.39
Lipno,14283
Węgrów,12452,1,12.3,0.8
Koluszki,12776,1,12,0.78
Dębno,13626,1,11.3,0.73
Sędziszów Małopolski,12415
Wisła,11007,9,125.7,8.18
Krynica-Zdrój,10456,8,117.7,7.65
Krosno Odrzańskie,11155,8,110.3,7.17
Miastko,10211,7,105.4,6.86
Ciechocinek,10534,6,87.6,5.7
Wołów,12298,7,87.5,5.69
Wasilków,11802,6,78.2,5.08
Sulęcin,10005,5,76.8,5
Błonie,12134,6,76,4.94
Szydłowiec,11557,5,66.5,4.33
Łobez,10048,4,61.2,3.98
Murowana Goślina,10410,4,59.1,3.84
Brzeszcze,11092,4,55.5,3.61
Węgorzewo,11144,4,55.2,3.59
Puck,11139,4,55.2,3.59
Milicz,11199,4,54.9,3.57
Zdzieszowice,11246,4,54.7,3.56
Drawsko Pomorskie,11417,4,53.9,3.5
Mogilno,11652,4,52.8,3.43
Janów Lubelski,11661,4,52.7,3.43
Góra Kalwaria,11988,4,51.3,3.34
Aleksandrów Kujawski,12058,4,51,3.32
Syców,10340,3,44.6,2.9
Lubawa,10374,3,44.5,2.89
Czarnków,10464,3,44.1,2.87
Międzychód,10476,3,44,2.86
Pińczów,10524,3,43.8,2.85
Kowary,10650,3,43.3,2.82
Myślibórz,11049,3,41.8,2.72
Koronowo,11070,3,41.7,2.71
Wronki,11064,3,41.7,2.71
Lubaczów,11830,3,39,2.54
Warka,11926,3,38.7,2.52
Nowe Miasto Lubawskie,10709,2,28.7,1.87
Nowa Dęba,11006,2,27.9,1.82
Ostrów Mazowiecka,22216,4,27.7,1.8
Rogoźno,11124,2,27.6,1.8
Miechów,11500,2,26.7,1.74
Pasłęk,12117,2,25.4,1.65
Piastów,22559,3,20.4,1.33
Bartoszyce,22984,3,20.1,1.31
Dobre Miasto,10010,1,15.4,1
Kolno,10143,1,15.2,0.99
Parczew,10555,1,14.6,0.95
Biskupiec,10628,1,14.5,0.94
Łaziska Górne,22130,2,13.9,0.9
Jawor,22462,2,13.7,0.89
Dąbrowa Tarnowska,11844,1,13,0.84
Turek,26441,2,11.6,0.76
Choszczno,14998,1,10.3,0.67
Hajnówka,20265,1,7.6,0.49
Góra,11574
Szprotawa,11530
